Title,Year,Rating,Director,Actors,URL
The Shawshank Redemption,1994,9.2,Frank Darabont,"Tim Robbins, Morgan Freeman",https://www.imdb.com/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1
The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino",https://www.imdb.com/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2
The Godfather: Part II,1974,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro",https://www.imdb.com/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3
The Dark Knight,2008,9.0,Christopher Nolan,"Christian Bale, Heath Ledger",https://www.imdb.com/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4
12 Angry Men,1957,8.9,Sidney Lumet,"Henry Fonda, Lee J. Cobb",https://www.imdb.com/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5
Schindler's List,1993,8.9,Steven Spielberg,"Liam Neeson, Ralph Fiennes",https://www.imdb.com/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6
The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,"Elijah Wood, Viggo Mortensen",https://www.imdb.com/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7
Pulp Fiction,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman",https://www.imdb.com/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8
"Il buono, il brutto, il cattivo",1966,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach",https://www.imdb.com/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9
Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton",https://www.imdb.com/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,"Elijah Wood, Ian McKellen",https://www.imdb.com/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11
Forrest Gump,1994,8.7,Robert Zemeckis,"Tom Hanks, Robin Wright",https://www.imdb.com/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford",https://www.imdb.com/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13
Inception,2010,8.7,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",https://www.imdb.com/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14
The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,"Elijah Wood, Ian McKellen",https://www.imdb.com/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15
One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher",https://www.imdb.com/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16
Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta",https://www.imdb.com/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17
The Matrix,1999,8.6,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",https://www.imdb.com/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18
Shichinin no samurai,1954,8.6,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",https://www.imdb.com/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19
Avengers: Infinity War,2018,8.6,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",https://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20
Cidade de Deus,2002,8.6,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",https://www.imdb.com/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21
Star Wars,1977,8.6,George Lucas,"Mark Hamill, Harrison Ford",https://www.imdb.com/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22
Se7en,1995,8.6,David Fincher,"Morgan Freeman, Brad Pitt",https://www.imdb.com/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23
The Silence of the Lambs,1991,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins",https://www.imdb.com/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24
It's a Wonderful Life,1946,8.6,Frank Capra,"James Stewart, Donna Reed",https://www.imdb.com/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_25
La vita è bella,1997,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",https://www.imdb.com/title/tt0118799/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_26
The Usual Suspects,1995,8.6,Bryan Singer,"Kevin Spacey, Gabriel Byrne",https://www.imdb.com/title/tt0114814/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_27
Sen to Chihiro no kamikakushi,2001,8.5,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette",https://www.imdb.com/title/tt0245429/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_28
Saving Private Ryan,1998,8.5,Steven Spielberg,"Tom Hanks, Matt Damon",https://www.imdb.com/title/tt0120815/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_29
Léon,1994,8.5,Luc Besson,"Jean Reno, Gary Oldman",https://www.imdb.com/title/tt0110413/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_30
The Green Mile,1999,8.5,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",https://www.imdb.com/title/tt0120689/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_31
Interstellar,2014,8.5,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",https://www.imdb.com/title/tt0816692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_32
American History X,1998,8.5,Tony Kaye,"Edward Norton, Edward Furlong",https://www.imdb.com/title/tt0120586/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_33
Psycho,1960,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",https://www.imdb.com/title/tt0054215/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_34
Once Upon a Time in the West,1968,8.5,Sergio Leone,"Henry Fonda, Charles Bronson",https://www.imdb.com/title/tt0064116/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_35
City Lights,1931,8.5,Charles Chaplin,"Charles Chaplin, Virginia Cherrill",https://www.imdb.com/title/tt0021749/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_36
Casablanca,1942,8.5,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",https://www.imdb.com/title/tt0034583/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_37
Modern Times,1936,8.5,Charles Chaplin,"Charles Chaplin, Paulette Goddard",https://www.imdb.com/title/tt0027977/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_38
The Intouchables,2011,8.5,Olivier Nakache,"François Cluzet, Omar Sy",https://www.imdb.com/title/tt1675434/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_39
The Pianist,2002,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann",https://www.imdb.com/title/tt0253474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_40
The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",https://www.imdb.com/title/tt0407887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_41
Terminator 2: Judgment Day,1991,8.5,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",https://www.imdb.com/title/tt0103064/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_42
Back to the Future,1985,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",https://www.imdb.com/title/tt0088763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_43
Raiders of the Lost Ark,1981,8.5,Steven Spielberg,"Harrison Ford, Karen Allen",https://www.imdb.com/title/tt0082971/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_44
Rear Window,1954,8.5,Alfred Hitchcock,"James Stewart, Grace Kelly",https://www.imdb.com/title/tt0047396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_45
Whiplash,2014,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons",https://www.imdb.com/title/tt2582802/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_46
Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix",https://www.imdb.com/title/tt0172495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_47
The Lion King,1994,8.5,Roger Allers,"Matthew Broderick, Jeremy Irons",https://www.imdb.com/title/tt0110357/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_48
The Prestige,2006,8.5,Christopher Nolan,"Christian Bale, Hugh Jackman",https://www.imdb.com/title/tt0482571/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_49
Memento,2000,8.4,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",https://www.imdb.com/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_50
Apocalypse Now,1979,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando",https://www.imdb.com/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51
Alien,1979,8.4,Ridley Scott,"Sigourney Weaver, Tom Skerritt",https://www.imdb.com/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52
The Great Dictator,1940,8.4,Charles Chaplin,"Charles Chaplin, Paulette Goddard",https://www.imdb.com/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53
Nuovo Cinema Paradiso,1988,8.4,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",https://www.imdb.com/title/tt0095765/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54
Sunset Blvd.,1950,8.4,Billy Wilder,"William Holden, Gloria Swanson",https://www.imdb.com/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55
Hotaru no haka,1988,8.4,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",https://www.imdb.com/title/tt0095327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,"Peter Sellers, George C. Scott",https://www.imdb.com/title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57
The Lives of Others,2006,8.4,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",https://www.imdb.com/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58
Paths of Glory,1957,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",https://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59
The Shining,1980,8.4,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",https://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60
Django Unchained,2012,8.4,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",https://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61
WALL·E,2008,8.4,Andrew Stanton,"Ben Burtt, Elissa Knight",https://www.imdb.com/title/tt0910970/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62
Coco,2017,8.4,Lee Unkrich,"Anthony Gonzalez, Gael García Bernal",https://www.imdb.com/title/tt2380307/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63
Mononoke-hime,1997,8.4,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",https://www.imdb.com/title/tt0119698/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_64
American Beauty,1999,8.4,Sam Mendes,"Kevin Spacey, Annette Bening",https://www.imdb.com/title/tt0169547/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_65
The Dark Knight Rises,2012,8.4,Christopher Nolan,"Christian Bale, Tom Hardy",https://www.imdb.com/title/tt1345836/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_66
Witness for the Prosecution,1957,8.4,Billy Wilder,"Tyrone Power, Marlene Dietrich",https://www.imdb.com/title/tt0051201/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_67
Oldeuboi,2003,8.4,Chan-wook Park,"Min-sik Choi, Ji-tae Yu",https://www.imdb.com/title/tt0364569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_68
Aliens,1986,8.4,James Cameron,"Sigourney Weaver, Michael Biehn",https://www.imdb.com/title/tt0090605/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_69
Once Upon a Time in America,1984,8.3,Sergio Leone,"Robert De Niro, James Woods",https://www.imdb.com/title/tt0087843/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_70
Das Boot,1981,8.3,Wolfgang Petersen,"Jürgen Prochnow, Herbert Grönemeyer",https://www.imdb.com/title/tt0082096/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_71
Citizen Kane,1941,8.3,Orson Welles,"Orson Welles, Joseph Cotten",https://www.imdb.com/title/tt0033467/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=YNFJ1YWW18BW8Q97NX74&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_72
